"Municipality","Year","Air Quality Health Index","Health Risk","OriginalValue"
"Edmonton",2012,"3","High Quality",0.47748
"Lethbridge",2012,"3","High Quality",0.36023
"Caroline",2012,"3","High Quality",0.18875
"Medicine Hat",2012,"3","High Quality",0.39061
"Calgary",2012,"3","High Quality",0.50268
"Grande Prairie",2012,"3","High Quality",0.30593
"Parkland County",2012,"3","High Quality",0.17766
"Fort Mackay",2012,"3","High Quality",0.17309
"Grande Prairie County No. 1",2012,"3","High Quality",0.30593
"Cold Lake",2012,"3","High Quality",0.19367
"St. Paul County No. 19",2012,"3","High Quality",0.16052
"Wood Buffalo",2012,"3","High Quality",0.12997
"Bruderheim",2012,"3","High Quality",0.16173
"Improvement District No. 13 Elk Island",2012,"3","High Quality",0.09522
"Leduc County",2012,"3","High Quality",0.11767
"Beaverlodge",2012,"3","High Quality",0.2397
"Lamont County",2012,"3","High Quality",0.19034
"Yellowhead County",2012,"3","High Quality",0.28366
"Red Deer",2012,"4","Moderate Quality",0.07813
"Fort Saskatchewan",2012,"4","Moderate Quality",0.03942
"Edmonton",2012,"4","Moderate Quality",0.10974
"Lethbridge",2012,"4","Moderate Quality",0.0358
"Caroline",2012,"4","Moderate Quality",0.00892
"Medicine Hat",2012,"4","Moderate Quality",0.07036
"Calgary",2012,"4","Moderate Quality",0.09707
"Grande Prairie",2012,"4","Moderate Quality",0.03654
"Parkland County",2012,"4","Moderate Quality",0.012
"Fort Mackay",2012,"4","Moderate Quality",0.02165
"Grande Prairie County No. 1",2012,"4","Moderate Quality",0.03654
"Cold Lake",2012,"4","Moderate Quality",0.01247
"St. Paul County No. 19",2012,"4","Moderate Quality",0.00921
"Wood Buffalo",2012,"4","Moderate Quality",0.01059
"Bruderheim",2012,"4","Moderate Quality",0.0224
"Improvement District No. 13 Elk Island",2012,"4","Moderate Quality",0.00248
"Leduc County",2012,"4","Moderate Quality",0.00391
"Beaverlodge",2012,"4","Moderate Quality",0.01663
"Lamont County",2012,"4","Moderate Quality",0.0178
"Yellowhead County",2012,"4","Moderate Quality",0.01887
"Red Deer",2012,"5","Moderate Quality",0.00769
"Fort Saskatchewan",2012,"5","Moderate Quality",0.00722
"Edmonton",2012,"5","Moderate Quality",0.01646
"Lethbridge",2012,"5","Moderate Quality",0.00094
"Medicine Hat",2012,"5","Moderate Quality",0.00443
"Calgary",2012,"5","Moderate Quality",0.01493
"Grande Prairie",2012,"5","Moderate Quality",0.00565
"Parkland County",2012,"5","Moderate Quality",0.00069
"Fort Mackay",2012,"5","Moderate Quality",0.00579
"Grande Prairie County No. 1",2012,"5","Moderate Quality",0.00565
"Cold Lake",2012,"5","Moderate Quality",0.00201
"St. Paul County No. 19",2012,"5","Moderate Quality",0.00203
"Wood Buffalo",2012,"5","Moderate Quality",0.00184
"Bruderheim",2012,"5","Moderate Quality",0.00217
"Improvement District No. 13 Elk Island",2012,"5","Moderate Quality",0.00037
"Leduc County",2012,"5","Moderate Quality",0.00127
"Beaverlodge",2012,"5","Moderate Quality",0.00335
"Lamont County",2012,"5","Moderate Quality",0.00249
"Yellowhead County",2012,"5","Moderate Quality",0.0019
"Red Deer",2012,"6","Moderate Quality",0.00012
"Fort Saskatchewan",2012,"6","Moderate Quality",0.00154
"Edmonton",2012,"6","Moderate Quality",0.00194
"Lethbridge",2012,"6","Moderate Quality",0.00016
"Medicine Hat",2012,"6","Moderate Quality",0.00035
"Calgary",2012,"6","Moderate Quality",0.00216
"Grande Prairie",2012,"6","Moderate Quality",0.00012
"Parkland County",2012,"6","Moderate Quality",0.00012
"Fort Mackay",2012,"6","Moderate Quality",0.00167
"Grande Prairie County No. 1",2012,"6","Moderate Quality",0.00012
"Cold Lake",2012,"6","Moderate Quality",0.00067
"St. Paul County No. 19",2012,"6","Moderate Quality",8e-04
"Wood Buffalo",2012,"6","Moderate Quality",0.00027
"Bruderheim",2012,"6","Moderate Quality",0.00048
"Leduc County",2012,"6","Moderate Quality",0.00035
"Beaverlodge",2012,"6","Moderate Quality",0.00046
"Yellowhead County",2012,"6","Moderate Quality",0.00035
"Fort Saskatchewan",2012,"7","Low Quality",0.00036
"Edmonton",2012,"7","Low Quality",0.00137
"Lethbridge",2012,"7","Low Quality",0.00016
"Medicine Hat",2012,"7","Low Quality",0.00058
"Calgary",2012,"7","Low Quality",0.00068
"Grande Prairie",2012,"7","Low Quality",0.00132
"Parkland County",2012,"7","Low Quality",0.00127
"Fort Mackay",2012,"7","Low Quality",0.00221
"Grande Prairie County No. 1",2012,"7","Low Quality",0.00132
"Cold Lake",2012,"7","Low Quality",0.00107
"St. Paul County No. 19",2012,"7","Low Quality",0.00051
"Wood Buffalo",2012,"7","Low Quality",0.00086
"Bruderheim",2012,"7","Low Quality",0.00181
"Leduc County",2012,"7","Low Quality",0.00081
"Beaverlodge",2012,"7","Low Quality",0.00023
"Lamont County",2012,"7","Low Quality",0.00026
"Yellowhead County",2012,"7","Low Quality",4e-04
"Edmonton",2012,"8","Low Quality",0.00034
"Lethbridge",2012,"8","Low Quality",0.00047
"Medicine Hat",2012,"8","Low Quality",0.00012
"Grande Prairie",2012,"8","Low Quality",0.00024
"Parkland County",2012,"8","Low Quality",0.00035
"Fort Mackay",2012,"8","Low Quality",0.00066
"Grande Prairie County No. 1",2012,"8","Low Quality",0.00024
"Cold Lake",2012,"8","Low Quality",4e-04
"St. Paul County No. 19",2012,"8","Low Quality",0.00058
"Wood Buffalo",2012,"8","Low Quality",0.00035
"Bruderheim",2012,"8","Low Quality",0.00048
"Leduc County",2012,"8","Low Quality",0.00035
"Lamont County",2012,"8","Low Quality",0.00013
"Yellowhead County",2012,"8","Low Quality",0.00017
"Edmonton",2012,"9","Low Quality",0.00011
"Parkland County",2012,"9","Low Quality",0.00023
"Fort Mackay",2012,"9","Low Quality",0.00048
"Cold Lake",2012,"9","Low Quality",0.00027
"St. Paul County No. 19",2012,"9","Low Quality",0.00036
"Wood Buffalo",2012,"9","Low Quality",0.00027
"Leduc County",2012,"9","Low Quality",0.00035
"Yellowhead County",2012,"9","Low Quality",4e-04
"Red Deer",2013,"1","High Quality",0.09738
"Fort Saskatchewan",2013,"1","High Quality",0.22572
"Edmonton",2013,"1","High Quality",0.04167
"Lethbridge",2013,"1","High Quality",0.03163
"Caroline",2013,"1","High Quality",0.11869
"Medicine Hat",2013,"1","High Quality",0.01921
"Calgary",2013,"1","High Quality",0.02328
"Grande Prairie",2013,"1","High Quality",0.09627
"Parkland County",2013,"1","High Quality",0.12845
"Fort Mackay",2013,"1","High Quality",0.31874
"Grande Prairie County No. 1",2013,"1","High Quality",0.09627
"Cold Lake",2013,"1","High Quality",0.16133
"St. Paul County No. 19",2013,"1","High Quality",0.10978
"Wood Buffalo",2013,"1","High Quality",0.28073
"Bruderheim",2013,"1","High Quality",0.07772
"Improvement District No. 13 Elk Island",2013,"1","High Quality",0.20159
"Leduc County",2013,"1","High Quality",0.31572
"Beaverlodge",2013,"1","High Quality",0.09576
"Lamont County",2013,"1","High Quality",0.10274
"Yellowhead County",2013,"1","High Quality",0.1365
"Edmonton",2013,"10+","Very Low Quality",0.00103
"Fort Mackay",2013,"10+","Very Low Quality",0.00012
"Wood Buffalo",2013,"10+","Very Low Quality",4e-05
"Red Deer",2013,"2","High Quality",0.45966
"Fort Saskatchewan",2013,"2","High Quality",0.45144
"Edmonton",2013,"2","High Quality",0.35895
"Lethbridge",2013,"2","High Quality",0.57632
"Caroline",2013,"2","High Quality",0.65648
"Medicine Hat",2013,"2","High Quality",0.47038
"Calgary",2013,"2","High Quality",0.33234
"Grande Prairie",2013,"2","High Quality",0.51423
"Parkland County",2013,"2","High Quality",0.64848
"Fort Mackay",2013,"2","High Quality",0.46401
"Grande Prairie County No. 1",2013,"2","High Quality",0.51423
"Cold Lake",2013,"2","High Quality",0.5033
"St. Paul County No. 19",2013,"2","High Quality",0.55642
"Wood Buffalo",2013,"2","High Quality",0.57238
"Bruderheim",2013,"2","High Quality",0.48198
"Improvement District No. 13 Elk Island",2013,"2","High Quality",0.57549
"Leduc County",2013,"2","High Quality",0.59011
"Beaverlodge",2013,"2","High Quality",0.54409
"Lamont County",2013,"2","High Quality",0.54437
"Yellowhead County",2013,"2","High Quality",0.59569
"Red Deer",2013,"3","High Quality",0.29338
"Fort Saskatchewan",2013,"3","High Quality",0.23586
"Edmonton",2013,"3","High Quality",0.40667
"Lethbridge",2013,"3","High Quality",0.36694
"Caroline",2013,"3","High Quality",0.20683
"Medicine Hat",2013,"3","High Quality",0.47111
"Calgary",2013,"3","High Quality",0.48268
"Grande Prairie",2013,"3","High Quality",0.30434
"Parkland County",2013,"3","High Quality",0.213
"Fort Mackay",2013,"3","High Quality",0.19046
"Grande Prairie County No. 1",2013,"3","High Quality",0.30434
"Cold Lake",2013,"3","High Quality",0.30258
"St. Paul County No. 19",2013,"3","High Quality",0.28624
"Wood Buffalo",2013,"3","High Quality",0.13419
"Bruderheim",2013,"3","High Quality",0.34176
"Improvement District No. 13 Elk Island",2013,"3","High Quality",0.20229
"Leduc County",2013,"3","High Quality",0.08627
"Beaverlodge",2013,"3","High Quality",0.3438
"Lamont County",2013,"3","High Quality",0.30714
"Yellowhead County",2013,"3","High Quality",0.25467
"Red Deer",2013,"4","Moderate Quality",0.11175
"Fort Saskatchewan",2013,"4","Moderate Quality",0.05536
"Edmonton",2013,"4","Moderate Quality",0.14088
"Lethbridge",2013,"4","Moderate Quality",0.02376
"Caroline",2013,"4","Moderate Quality",0.01702
"Medicine Hat",2013,"4","Moderate Quality",0.03827
"Calgary",2013,"4","Moderate Quality",0.14232
"Grande Prairie",2013,"4","Moderate Quality",0.06817
"Parkland County",2013,"4","Moderate Quality",0.01008
"Fort Mackay",2013,"4","Moderate Quality",0.02204
"Grande Prairie County No. 1",2013,"4","Moderate Quality",0.06817
"Cold Lake",2013,"4","Moderate Quality",0.02967
"St. Paul County No. 19",2013,"4","Moderate Quality",0.04005
"Wood Buffalo",2013,"4","Moderate Quality",0.00995
"Bruderheim",2013,"4","Moderate Quality",0.07011
"Improvement District No. 13 Elk Island",2013,"4","Moderate Quality",0.01656
"Leduc County",2013,"4","Moderate Quality",0.00743
"Beaverlodge",2013,"4","Moderate Quality",0.01517
"Lamont County",2013,"4","Moderate Quality",0.03743
"Yellowhead County",2013,"4","Moderate Quality",0.01249
"Red Deer",2013,"5","Moderate Quality",0.02788
"Fort Saskatchewan",2013,"5","Moderate Quality",0.02052
"Edmonton",2013,"5","Moderate Quality",0.03265
"Lethbridge",2013,"5","Moderate Quality",0.00098
"Caroline",2013,"5","Moderate Quality",0.00097
"Medicine Hat",2013,"5","Moderate Quality",0.00088
"Calgary",2013,"5","Moderate Quality",0.01628
"Grande Prairie",2013,"5","Moderate Quality",0.01429
"Fort Mackay",2013,"5","Moderate Quality",0.00306
"Grande Prairie County No. 1",2013,"5","Moderate Quality",0.01429
"Cold Lake",2013,"5","Moderate Quality",0.00311
"St. Paul County No. 19",2013,"5","Moderate Quality",0.00612
"Wood Buffalo",2013,"5","Moderate Quality",0.00114
"Bruderheim",2013,"5","Moderate Quality",0.01931
"Improvement District No. 13 Elk Island",2013,"5","Moderate Quality",0.00408
"Leduc County",2013,"5","Moderate Quality",0.00046
"Beaverlodge",2013,"5","Moderate Quality",0.00036
"Lamont County",2013,"5","Moderate Quality",0.00628
"Yellowhead County",2013,"5","Moderate Quality",0.00047
"Red Deer",2013,"6","Moderate Quality",0.0086
"Fort Saskatchewan",2013,"6","Moderate Quality",0.00644
"Edmonton",2013,"6","Moderate Quality",0.01153
"Calgary",2013,"6","Moderate Quality",0.00241
"Grande Prairie",2013,"6","Moderate Quality",0.00269
"Fort Mackay",2013,"6","Moderate Quality",0.00035
"Grande Prairie County No. 1",2013,"6","Moderate Quality",0.00269
"St. Paul County No. 19",2013,"6","Moderate Quality",0.00111
"Wood Buffalo",2013,"6","Moderate Quality",2e-04
"Bruderheim",2013,"6","Moderate Quality",0.00597
"Beaverlodge",2013,"6","Moderate Quality",0.00024
"Lamont County",2013,"6","Moderate Quality",0.00193
"Yellowhead County",2013,"6","Moderate Quality",0.00018
"Red Deer",2013,"7","Low Quality",0.00098
"Fort Saskatchewan",2013,"7","Low Quality",0.00394
"Edmonton",2013,"7","Low Quality",0.00502
"Lethbridge",2013,"7","Low Quality",0.00037
"Calgary",2013,"7","Low Quality",0.00034
"Fort Mackay",2013,"7","Low Quality",0.00071
"St. Paul County No. 19",2013,"7","Low Quality",0.00028
"Wood Buffalo",2013,"7","Low Quality",0.00106
"Bruderheim",2013,"7","Low Quality",0.00187
"Beaverlodge",2013,"7","Low Quality",0.00047
"Lamont County",2013,"7","Low Quality",0.00012
"Red Deer",2013,"8","Low Quality",0.00037
"Fort Saskatchewan",2013,"8","Low Quality",0.00072
"Edmonton",2013,"8","Low Quality",0.00137
"Medicine Hat",2013,"8","Low Quality",0.00015
"Calgary",2013,"8","Low Quality",0.00034
"Fort Mackay",2013,"8","Low Quality",0.00029
"Wood Buffalo",2013,"8","Low Quality",2e-04
"Bruderheim",2013,"8","Low Quality",0.00094
"Beaverlodge",2013,"8","Low Quality",0.00012
"Edmonton",2013,"9","Low Quality",0.00023
"Fort Mackay",2013,"9","Low Quality",0.00024
"Wood Buffalo",2013,"9","Low Quality",0.00012
"Bruderheim",2013,"9","Low Quality",0.00035
"Red Deer",2014,"1","High Quality",0.12925
"Fort Saskatchewan",2014,"1","High Quality",0.11276
"Edmonton",2014,"1","High Quality",0.04784
"Lethbridge",2014,"1","High Quality",0.06701
"Caroline",2014,"1","High Quality",0.15615
"Medicine Hat",2014,"1","High Quality",0.093
"Calgary",2014,"1","High Quality",0.05903
"Grande Prairie",2014,"1","High Quality",0.08518
"Parkland County",2014,"1","High Quality",0.18283
"Fort Mackay",2014,"1","High Quality",0.31129
"Grande Prairie County No. 1",2014,"1","High Quality",0.14717
"Cold Lake",2014,"1","High Quality",0.21324
"St. Paul County No. 19",2014,"1","High Quality",0.10854
"Wood Buffalo",2014,"1","High Quality",0.25083
"Bruderheim",2014,"1","High Quality",0.10124
"Improvement District No. 13 Elk Island",2014,"1","High Quality",0.09662
"Leduc County",2014,"1","High Quality",0.38414
"Beaverlodge",2014,"1","High Quality",0.14503
"Lamont County",2014,"1","High Quality",0.09855
"Yellowhead County",2014,"1","High Quality",0.18171
"Fort Saskatchewan",2014,"10+","Very Low Quality",0.00012
"Grande Prairie",2014,"10+","Very Low Quality",7e-04
"Fort Mackay",2014,"10+","Very Low Quality",0.0013
"Grande Prairie County No. 1",2014,"10+","Very Low Quality",0.00047
"Wood Buffalo",2014,"10+","Very Low Quality",0.00128
"Yellowhead County",2014,"10+","Very Low Quality",0.00069
"Red Deer",2014,"2","High Quality",0.57677
"Fort Saskatchewan",2014,"2","High Quality",0.54647
"Edmonton",2014,"2","High Quality",0.39137
"Lethbridge",2014,"2","High Quality",0.52597
"Caroline",2014,"2","High Quality",0.62132
"Medicine Hat",2014,"2","High Quality",0.64268
"Calgary",2014,"2","High Quality",0.46569
"Grande Prairie",2014,"2","High Quality",0.51132
"Parkland County",2014,"2","High Quality",0.59026
"Fort Mackay",2014,"2","High Quality",0.50159
"Grande Prairie County No. 1",2014,"2","High Quality",0.50492
"Cold Lake",2014,"2","High Quality",0.59504
"St. Paul County No. 19",2014,"2","High Quality",0.62681
"Wood Buffalo",2014,"2","High Quality",0.58687
"Bruderheim",2014,"2","High Quality",0.57348
"Improvement District No. 13 Elk Island",2014,"2","High Quality",0.54422
"Leduc County",2014,"2","High Quality",0.53369
"Beaverlodge",2014,"2","High Quality",0.46451
"Lamont County",2014,"2","High Quality",0.61795
"Yellowhead County",2014,"2","High Quality",0.50253
"Red Deer",2014,"3","High Quality",0.23526
"Fort Saskatchewan",2014,"3","High Quality",0.27562
"Edmonton",2014,"3","High Quality",0.4263
"Lethbridge",2014,"3","High Quality",0.36784
"Caroline",2014,"3","High Quality",0.20874
"Medicine Hat",2014,"3","High Quality",0.25243
"Calgary",2014,"3","High Quality",0.36614
"Grande Prairie",2014,"3","High Quality",0.27983
"Parkland County",2014,"3","High Quality",0.21963
"Fort Mackay",2014,"3","High Quality",0.16121
"Grande Prairie County No. 1",2014,"3","High Quality",0.24625
"Cold Lake",2014,"3","High Quality",0.17208
"St. Paul County No. 19",2014,"3","High Quality",0.22441
"Wood Buffalo",2014,"3","High Quality",0.13493
"Bruderheim",2014,"3","High Quality",0.27981
"Improvement District No. 13 Elk Island",2014,"3","High Quality",0.30006
"Leduc County",2014,"3","High Quality",0.07835
"Beaverlodge",2014,"3","High Quality",0.36063
"Lamont County",2014,"3","High Quality",0.25149
"Yellowhead County",2014,"3","High Quality",0.28307
"Red Deer",2014,"4","Moderate Quality",0.05009
"Fort Saskatchewan",2014,"4","Moderate Quality",0.05011
"Edmonton",2014,"4","Moderate Quality",0.11657
"Lethbridge",2014,"4","Moderate Quality",0.0365
"Caroline",2014,"4","Moderate Quality",0.01099
"Medicine Hat",2014,"4","Moderate Quality",0.00994
"Calgary",2014,"4","Moderate Quality",0.08974
"Grande Prairie",2014,"4","Moderate Quality",0.09375
"Parkland County",2014,"4","Moderate Quality",0.00683
"Fort Mackay",2014,"4","Moderate Quality",0.01673
"Grande Prairie County No. 1",2014,"4","Moderate Quality",0.07745
"Cold Lake",2014,"4","Moderate Quality",0.01489
"St. Paul County No. 19",2014,"4","Moderate Quality",0.03325
"Wood Buffalo",2014,"4","Moderate Quality",0.0183
"Bruderheim",2014,"4","Moderate Quality",0.03955
"Improvement District No. 13 Elk Island",2014,"4","Moderate Quality",0.0499
"Leduc County",2014,"4","Moderate Quality",0.00347
"Beaverlodge",2014,"4","Moderate Quality",0.02184
"Lamont County",2014,"4","Moderate Quality",0.02833
"Yellowhead County",2014,"4","Moderate Quality",0.0271
"Red Deer",2014,"5","Moderate Quality",0.00677
"Fort Saskatchewan",2014,"5","Moderate Quality",0.01169
"Edmonton",2014,"5","Moderate Quality",0.01667
"Lethbridge",2014,"5","Moderate Quality",0.00268
"Caroline",2014,"5","Moderate Quality",0.0021
"Medicine Hat",2014,"5","Moderate Quality",0.00116
"Calgary",2014,"5","Moderate Quality",0.01644
"Grande Prairie",2014,"5","Moderate Quality",0.02241
"Parkland County",2014,"5","Moderate Quality",0.00046
"Fort Mackay",2014,"5","Moderate Quality",0.00289
"Grande Prairie County No. 1",2014,"5","Moderate Quality",0.01788
"Cold Lake",2014,"5","Moderate Quality",0.00257
"St. Paul County No. 19",2014,"5","Moderate Quality",0.00487
"Wood Buffalo",2014,"5","Moderate Quality",0.0031
"Bruderheim",2014,"5","Moderate Quality",0.00426
"Improvement District No. 13 Elk Island",2014,"5","Moderate Quality",0.00702
"Leduc County",2014,"5","Moderate Quality",0.00035
"Beaverlodge",2014,"5","Moderate Quality",0.00333
"Lamont County",2014,"5","Moderate Quality",0.00214
"Yellowhead County",2014,"5","Moderate Quality",0.00285
"Red Deer",2014,"6","Moderate Quality",0.00163
"Fort Saskatchewan",2014,"6","Moderate Quality",0.00203
"Edmonton",2014,"6","Moderate Quality",0.00114
"Caroline",2014,"6","Moderate Quality",0.00035
"Medicine Hat",2014,"6","Moderate Quality",0.00069
"Calgary",2014,"6","Moderate Quality",0.00217
"Grande Prairie",2014,"6","Moderate Quality",0.00364
"Fort Mackay",2014,"6","Moderate Quality",0.00165
"Grande Prairie County No. 1",2014,"6","Moderate Quality",0.00273
"Cold Lake",2014,"6","Moderate Quality",0.00041
"St. Paul County No. 19",2014,"6","Moderate Quality",0.00082
"Wood Buffalo",2014,"6","Moderate Quality",0.00105
"Bruderheim",2014,"6","Moderate Quality",0.00118
"Improvement District No. 13 Elk Island",2014,"6","Moderate Quality",0.00115
"Beaverlodge",2014,"6","Moderate Quality",0.00133
"Lamont County",2014,"6","Moderate Quality",6e-04
"Yellowhead County",2014,"6","Moderate Quality",0.00031
"Red Deer",2014,"7","Low Quality",0.00023
"Fort Saskatchewan",2014,"7","Low Quality",0.00072
"Edmonton",2014,"7","Low Quality",0.00011
"Caroline",2014,"7","Low Quality",0.00035
"Medicine Hat",2014,"7","Low Quality",0.00012
"Calgary",2014,"7","Low Quality",0.00057
"Grande Prairie",2014,"7","Low Quality",0.00211
"Fort Mackay",2014,"7","Low Quality",0.00106
"Grande Prairie County No. 1",2014,"7","Low Quality",0.00242
"Cold Lake",2014,"7","Low Quality",0.00149
"St. Paul County No. 19",2014,"7","Low Quality",0.0011
"Wood Buffalo",2014,"7","Low Quality",0.00248
"Bruderheim",2014,"7","Low Quality",0.00047
"Improvement District No. 13 Elk Island",2014,"7","Low Quality",0.00077
"Beaverlodge",2014,"7","Low Quality",0.0028
"Lamont County",2014,"7","Low Quality",0.00083
"Yellowhead County",2014,"7","Low Quality",0.00089
"Fort Saskatchewan",2014,"8","Low Quality",0.00024
"Calgary",2014,"8","Low Quality",0.00023
"Grande Prairie",2014,"8","Low Quality",0.00059
"Fort Mackay",2014,"8","Low Quality",0.00188
"Grande Prairie County No. 1",2014,"8","Low Quality",0.00039
"Cold Lake",2014,"8","Low Quality",0.00027
"St. Paul County No. 19",2014,"8","Low Quality",0.00021
"Wood Buffalo",2014,"8","Low Quality",0.00062
"Improvement District No. 13 Elk Island",2014,"8","Low Quality",0.00026
"Beaverlodge",2014,"8","Low Quality",0.00053
"Lamont County",2014,"8","Low Quality",0.00012
"Yellowhead County",2014,"8","Low Quality",0.00054
"Fort Saskatchewan",2014,"9","Low Quality",0.00024
"Grande Prairie",2014,"9","Low Quality",0.00047
"Fort Mackay",2014,"9","Low Quality",0.00041
"Grande Prairie County No. 1",2014,"9","Low Quality",0.00031
"Wood Buffalo",2014,"9","Low Quality",0.00054
"Yellowhead County",2014,"9","Low Quality",0.00031
"Red Deer",2015,"1","High Quality",0.09625
"Fort Saskatchewan",2015,"1","High Quality",0.16234
"Edmonton",2015,"1","High Quality",0.04213
"Lethbridge",2015,"1","High Quality",0.02858
"Caroline",2015,"1","High Quality",0.12466
"Medicine Hat",2015,"1","High Quality",0.07799
"Calgary",2015,"1","High Quality",0.05731
"Grande Prairie",2015,"1","High Quality",0.09316
"Parkland County",2015,"1","High Quality",0.15799
"Strathcona County",2015,"1","High Quality",0.11077
"Fort Mackay",2015,"1","High Quality",0.33114
"Grande Prairie County No. 1",2015,"1","High Quality",0.13034
"Cold Lake",2015,"1","High Quality",0.2408
"St. Paul County No. 19",2015,"1","High Quality",0.18277
"Wood Buffalo",2015,"1","High Quality",0.24809
"Bruderheim",2015,"1","High Quality",0.15941
"Improvement District No. 13 Elk Island",2015,"1","High Quality",0.23096
"Leduc County",2015,"1","High Quality",0.45581
"Beaverlodge",2015,"1","High Quality",0.14815
"Lamont County",2015,"1","High Quality",0.1003
"Yellowhead County",2015,"1","High Quality",0.21046
"Fort Saskatchewan",2015,"10+","Very Low Quality",0.00154
"Edmonton",2015,"10+","Very Low Quality",8e-04
"Medicine Hat",2015,"10+","Very Low Quality",0.00245
"Calgary",2015,"10+","Very Low Quality",0.00183
"Parkland County",2015,"10+","Very Low Quality",0.00092
"Strathcona County",2015,"10+","Very Low Quality",0.00102
"Fort Mackay",2015,"10+","Very Low Quality",0.00433
"Cold Lake",2015,"10+","Very Low Quality",0.00534
"St. Paul County No. 19",2015,"10+","Very Low Quality",0.00222
"Wood Buffalo",2015,"10+","Very Low Quality",0.00428
"Bruderheim",2015,"10+","Very Low Quality",0.00117
"Improvement District No. 13 Elk Island",2015,"10+","Very Low Quality",0.00117
"Leduc County",2015,"10+","Very Low Quality",0.00058
"Lamont County",2015,"10+","Very Low Quality",0.00179
"Yellowhead County",2015,"10+","Very Low Quality",0.00031
"Red Deer",2015,"2","High Quality",0.5942
"Fort Saskatchewan",2015,"2","High Quality",0.48304
"Edmonton",2015,"2","High Quality",0.4013
"Lethbridge",2015,"2","High Quality",0.54458
"Caroline",2015,"2","High Quality",0.69031
"Medicine Hat",2015,"2","High Quality",0.64793
"Calgary",2015,"2","High Quality",0.55052
"Grande Prairie",2015,"2","High Quality",0.59287
"Parkland County",2015,"2","High Quality",0.66382
"Strathcona County",2015,"2","High Quality",0.5617
"Fort Mackay",2015,"2","High Quality",0.50806
"Grande Prairie County No. 1",2015,"2","High Quality",0.59069
"Cold Lake",2015,"2","High Quality",0.57365
"St. Paul County No. 19",2015,"2","High Quality",0.57321
"Wood Buffalo",2015,"2","High Quality",0.6242
"Bruderheim",2015,"2","High Quality",0.5616
"Improvement District No. 13 Elk Island",2015,"2","High Quality",0.59108
"Leduc County",2015,"2","High Quality",0.4705
"Beaverlodge",2015,"2","High Quality",0.69595
"Lamont County",2015,"2","High Quality",0.50208
"Yellowhead County",2015,"2","High Quality",0.53283
"Red Deer",2015,"3","High Quality",0.27506
"Fort Saskatchewan",2015,"3","High Quality",0.27423
"Edmonton",2015,"3","High Quality",0.42596
"Lethbridge",2015,"3","High Quality",0.36754
"Caroline",2015,"3","High Quality",0.16518
"Medicine Hat",2015,"3","High Quality",0.22354
"Calgary",2015,"3","High Quality",0.33109
"Grande Prairie",2015,"3","High Quality",0.24256
"Parkland County",2015,"3","High Quality",0.15995
"Strathcona County",2015,"3","High Quality",0.27223
"Fort Mackay",2015,"3","High Quality",0.12624
"Grande Prairie County No. 1",2015,"3","High Quality",0.22229
"Cold Lake",2015,"3","High Quality",0.15556
