CSDUID,CSD,Period,IndicatorSummaryDescription,Air Quality Health Index,Health Risk,UnitOfMeasure,OriginalValue
4811061,Edmonton,2015,Air Quality (percent high-quality hours),1,High Quality,,0.04213
4811061,Edmonton,2016,Air Quality (percent high-quality hours),1,High Quality,,0.06558
4811061,Edmonton,2017,Air Quality (percent high-quality hours),1,High Quality,,0.03128
4811061,Edmonton,2018,Air Quality (percent high-quality hours),1,High Quality,,0.05172
4811061,Edmonton,2019,Air Quality (percent high-quality hours),1,High Quality,,0.07706
4811061,Edmonton,2020,Air Quality (percent high-quality hours),1,High Quality,,0.09678
4811061,Edmonton,2021,Air Quality (percent high-quality hours),1,High Quality,,0.02774
4811061,Edmonton,2022,Air Quality (percent high-quality hours),1,High Quality,,0.02021
4802012,Lethbridge,2011,Air Quality (percent high-quality hours),1,High Quality,,0.02406
4802012,Lethbridge,2012,Air Quality (percent high-quality hours),1,High Quality,,0.03033
4802012,Lethbridge,2013,Air Quality (percent high-quality hours),1,High Quality,,0.03163
4802012,Lethbridge,2014,Air Quality (percent high-quality hours),1,High Quality,,0.06701
4802012,Lethbridge,2015,Air Quality (percent high-quality hours),1,High Quality,,0.02858
4802012,Lethbridge,2016,Air Quality (percent high-quality hours),1,High Quality,,0.09376
4802012,Lethbridge,2017,Air Quality (percent high-quality hours),1,High Quality,,0.03548
4802012,Lethbridge,2018,Air Quality (percent high-quality hours),1,High Quality,,0.05590
4802012,Lethbridge,2019,Air Quality (percent high-quality hours),1,High Quality,,0.07873
4802012,Lethbridge,2020,Air Quality (percent high-quality hours),1,High Quality,,0.03902
4802012,Lethbridge,2021,Air Quality (percent high-quality hours),1,High Quality,,0.02343
4802012,Lethbridge,2022,Air Quality (percent high-quality hours),1,High Quality,,0.02992
4802031,Newell County,2021,Air Quality (percent high-quality hours),1,High Quality,,0.22366
4802031,Newell County,2022,Air Quality (percent high-quality hours),1,High Quality,,0.15492
4809010,Caroline,2011,Air Quality (percent high-quality hours),1,High Quality,,0.13609
4809010,Caroline,2012,Air Quality (percent high-quality hours),1,High Quality,,0.14105
4809010,Caroline,2013,Air Quality (percent high-quality hours),1,High Quality,,0.11869
4809010,Caroline,2014,Air Quality (percent high-quality hours),1,High Quality,,0.15615
4809010,Caroline,2015,Air Quality (percent high-quality hours),1,High Quality,,0.12466
4809010,Caroline,2016,Air Quality (percent high-quality hours),1,High Quality,,0.21962
4809010,Caroline,2017,Air Quality (percent high-quality hours),1,High Quality,,0.05654
4809010,Caroline,2018,Air Quality (percent high-quality hours),1,High Quality,,0.14372
4809010,Caroline,2019,Air Quality (percent high-quality hours),1,High Quality,,0.18145
4809010,Caroline,2020,Air Quality (percent high-quality hours),1,High Quality,,0.19682
4809010,Caroline,2021,Air Quality (percent high-quality hours),1,High Quality,,0.09719
4809010,Caroline,2022,Air Quality (percent high-quality hours),1,High Quality,,0.12416
4806021,Airdrie,2017,Air Quality (percent high-quality hours),1,High Quality,,0.09214
4806021,Airdrie,2018,Air Quality (percent high-quality hours),1,High Quality,,0.08230
4806021,Airdrie,2019,Air Quality (percent high-quality hours),1,High Quality,,0.10214
4806021,Airdrie,2020,Air Quality (percent high-quality hours),1,High Quality,,0.09888
4806021,Airdrie,2021,Air Quality (percent high-quality hours),1,High Quality,,0.05337
4806021,Airdrie,2022,Air Quality (percent high-quality hours),1,High Quality,,0.05552
4801006,Medicine Hat,2011,Air Quality (percent high-quality hours),1,High Quality,,0.01366
4801006,Medicine Hat,2012,Air Quality (percent high-quality hours),1,High Quality,,0.01899
4801006,Medicine Hat,2013,Air Quality (percent high-quality hours),1,High Quality,,0.01921
4801006,Medicine Hat,2014,Air Quality (percent high-quality hours),1,High Quality,,0.09300
4801006,Medicine Hat,2015,Air Quality (percent high-quality hours),1,High Quality,,0.07799
4801006,Medicine Hat,2016,Air Quality (percent high-quality hours),1,High Quality,,0.13899
4801006,Medicine Hat,2017,Air Quality (percent high-quality hours),1,High Quality,,0.05412
4801006,Medicine Hat,2018,Air Quality (percent high-quality hours),1,High Quality,,0.07027
4801006,Medicine Hat,2019,Air Quality (percent high-quality hours),1,High Quality,,0.05938
4801006,Medicine Hat,2020,Air Quality (percent high-quality hours),1,High Quality,,0.04639
4801006,Medicine Hat,2021,Air Quality (percent high-quality hours),1,High Quality,,0.03055
4801006,Medicine Hat,2022,Air Quality (percent high-quality hours),1,High Quality,,0.04458
4802021,"Taber, M.D.",2021,Air Quality (percent high-quality hours),1,High Quality,,0.08679
4802021,"Taber, M.D.",2022,Air Quality (percent high-quality hours),1,High Quality,,0.07414
4806001,Foothills No. 31,2019,Air Quality (percent high-quality hours),1,High Quality,,0.08203
4806001,Foothills No. 31,2021,Air Quality (percent high-quality hours),1,High Quality,,0.04552
4806016,Calgary,2011,Air Quality (percent high-quality hours),1,High Quality,,0.01929
4806016,Calgary,2012,Air Quality (percent high-quality hours),1,High Quality,,0.02210
4806016,Calgary,2013,Air Quality (percent high-quality hours),1,High Quality,,0.02328
4806016,Calgary,2014,Air Quality (percent high-quality hours),1,High Quality,,0.05903
4806016,Calgary,2015,Air Quality (percent high-quality hours),1,High Quality,,0.05731
4806016,Calgary,2016,Air Quality (percent high-quality hours),1,High Quality,,0.11260
4806016,Calgary,2017,Air Quality (percent high-quality hours),1,High Quality,,0.01450
4806016,Calgary,2018,Air Quality (percent high-quality hours),1,High Quality,,0.04590
4806016,Calgary,2019,Air Quality (percent high-quality hours),1,High Quality,,0.03551
4806016,Calgary,2020,Air Quality (percent high-quality hours),1,High Quality,,0.09802
4806016,Calgary,2021,Air Quality (percent high-quality hours),1,High Quality,,0.01416
4806016,Calgary,2022,Air Quality (percent high-quality hours),1,High Quality,,0.00731
4817026,Northern Sunrise County,2019,Air Quality (percent high-quality hours),1,High Quality,,0.51349
4817026,Northern Sunrise County,2020,Air Quality (percent high-quality hours),1,High Quality,,0.47601
4817026,Northern Sunrise County,2021,Air Quality (percent high-quality hours),1,High Quality,,0.36222
4819054,Spirit River No. 133,2016,Air Quality (percent high-quality hours),1,High Quality,,0.45633
4819054,Spirit River No. 133,2017,Air Quality (percent high-quality hours),1,High Quality,,0.21190
4819054,Spirit River No. 133,2018,Air Quality (percent high-quality hours),1,High Quality,,0.20736
4819012,Grande Prairie,2011,Air Quality (percent high-quality hours),1,High Quality,,0.12536
4819012,Grande Prairie,2012,Air Quality (percent high-quality hours),1,High Quality,,0.10398
4819012,Grande Prairie,2013,Air Quality (percent high-quality hours),1,High Quality,,0.09627
4819012,Grande Prairie,2014,Air Quality (percent high-quality hours),1,High Quality,,0.08518
4819012,Grande Prairie,2015,Air Quality (percent high-quality hours),1,High Quality,,0.09316
4819012,Grande Prairie,2016,Air Quality (percent high-quality hours),1,High Quality,,0.19889
4819012,Grande Prairie,2017,Air Quality (percent high-quality hours),1,High Quality,,0.07503
4819012,Grande Prairie,2018,Air Quality (percent high-quality hours),1,High Quality,,0.12407
4819012,Grande Prairie,2019,Air Quality (percent high-quality hours),1,High Quality,,0.15095
4819012,Grande Prairie,2020,Air Quality (percent high-quality hours),1,High Quality,,0.17628
4819012,Grande Prairie,2021,Air Quality (percent high-quality hours),1,High Quality,,0.09614
4819012,Grande Prairie,2022,Air Quality (percent high-quality hours),1,High Quality,,0.07411
4811032,Brazeau County,2019,Air Quality (percent high-quality hours),1,High Quality,,0.17658
4811032,Brazeau County,2020,Air Quality (percent high-quality hours),1,High Quality,,0.11009
4811032,Brazeau County,2021,Air Quality (percent high-quality hours),1,High Quality,,0.04200
4811032,Brazeau County,2022,Air Quality (percent high-quality hours),1,High Quality,,0.03031
4811034,Parkland County,2011,Air Quality (percent high-quality hours),1,High Quality,,0.16132
4811034,Parkland County,2012,Air Quality (percent high-quality hours),1,High Quality,,0.17247
4811034,Parkland County,2013,Air Quality (percent high-quality hours),1,High Quality,,0.12845
4811034,Parkland County,2014,Air Quality (percent high-quality hours),1,High Quality,,0.18283
4811034,Parkland County,2015,Air Quality (percent high-quality hours),1,High Quality,,0.15799
4811034,Parkland County,2016,Air Quality (percent high-quality hours),1,High Quality,,0.25789
4811034,Parkland County,2017,Air Quality (percent high-quality hours),1,High Quality,,0.18031
4811034,Parkland County,2018,Air Quality (percent high-quality hours),1,High Quality,,0.15352
4811034,Parkland County,2019,Air Quality (percent high-quality hours),1,High Quality,,0.21608
4811034,Parkland County,2020,Air Quality (percent high-quality hours),1,High Quality,,0.24083
4811034,Parkland County,2021,Air Quality (percent high-quality hours),1,High Quality,,0.11656
4811034,Parkland County,2022,Air Quality (percent high-quality hours),1,High Quality,,0.14722
4811052,Strathcona County,2015,Air Quality (percent high-quality hours),1,High Quality,,0.11077
4811052,Strathcona County,2016,Air Quality (percent high-quality hours),1,High Quality,,0.17454
4811052,Strathcona County,2017,Air Quality (percent high-quality hours),1,High Quality,,0.07176
4811052,Strathcona County,2018,Air Quality (percent high-quality hours),1,High Quality,,0.09069
4811052,Strathcona County,2019,Air Quality (percent high-quality hours),1,High Quality,,0.10767
4811052,Strathcona County,2020,Air Quality (percent high-quality hours),1,High Quality,,0.11848
4811052,Strathcona County,2021,Air Quality (percent high-quality hours),1,High Quality,,0.06417
4811052,Strathcona County,2022,Air Quality (percent high-quality hours),1,High Quality,,0.06435
4811059,Sturgeon County,2016,Air Quality (percent high-quality hours),1,High Quality,,0.24368
4811059,Sturgeon County,2017,Air Quality (percent high-quality hours),1,High Quality,,0.10916
4811059,Sturgeon County,2018,Air Quality (percent high-quality hours),1,High Quality,,0.11192
4811059,Sturgeon County,2019,Air Quality (percent high-quality hours),1,High Quality,,0.15328
4811059,Sturgeon County,2020,Air Quality (percent high-quality hours),1,High Quality,,0.22703
4811059,Sturgeon County,2021,Air Quality (percent high-quality hours),1,High Quality,,0.08829
4811059,Sturgeon County,2022,Air Quality (percent high-quality hours),1,High Quality,,0.09954
4811062,St. Albert,2016,Air Quality (percent high-quality hours),1,High Quality,,0.19367
4811062,St. Albert,2017,Air Quality (percent high-quality hours),1,High Quality,,0.08525
4811062,St. Albert,2018,Air Quality (percent high-quality hours),1,High Quality,,0.08445
4811062,St. Albert,2019,Air Quality (percent high-quality hours),1,High Quality,,0.11548
4811062,St. Albert,2020,Air Quality (percent high-quality hours),1,High Quality,,0.13429
4811062,St. Albert,2021,Air Quality (percent high-quality hours),1,High Quality,,0.04613
4811062,St. Albert,2022,Air Quality (percent high-quality hours),1,High Quality,,0.06604
4816859,Fort Mackay,2011,Air Quality (percent high-quality hours),1,High Quality,,0.34370
4816859,Fort Mackay,2012,Air Quality (percent high-quality hours),1,High Quality,,0.34683
4816859,Fort Mackay,2013,Air Quality (percent high-quality hours),1,High Quality,,0.31874
4816859,Fort Mackay,2014,Air Quality (percent high-quality hours),1,High Quality,,0.31129
4816859,Fort Mackay,2015,Air Quality (percent high-quality hours),1,High Quality,,0.33114
4816859,Fort Mackay,2016,Air Quality (percent high-quality hours),1,High Quality,,0.32991
4816859,Fort Mackay,2017,Air Quality (percent high-quality hours),1,High Quality,,0.30640
4816859,Fort Mackay,2018,Air Quality (percent high-quality hours),1,High Quality,,0.21907
4816859,Fort Mackay,2019,Air Quality (percent high-quality hours),1,High Quality,,0.25868
4816859,Fort Mackay,2020,Air Quality (percent high-quality hours),1,High Quality,,0.31306
4816859,Fort Mackay,2021,Air Quality (percent high-quality hours),1,High Quality,,0.22659
4816859,Fort Mackay,2022,Air Quality (percent high-quality hours),1,High Quality,,0.21529
4815023,Canmore,2019,Air Quality (percent high-quality hours),1,High Quality,,0.03798
4815023,Canmore,2020,Air Quality (percent high-quality hours),1,High Quality,,0.00799
4815023,Canmore,2021,Air Quality (percent high-quality hours),1,High Quality,,0.05269
4819006,Grande Prairie County No. 1,2011,Air Quality (percent high-quality hours),1,High Quality,,0.12536
4819006,Grande Prairie County No. 1,2012,Air Quality (percent high-quality hours),1,High Quality,,0.10398
4819006,Grande Prairie County No. 1,2013,Air Quality (percent high-quality hours),1,High Quality,,0.09627
4819006,Grande Prairie County No. 1,2014,Air Quality (percent high-quality hours),1,High Quality,,0.14717
4819006,Grande Prairie County No. 1,2015,Air Quality (percent high-quality hours),1,High Quality,,0.13034
4819006,Grande Prairie County No. 1,2016,Air Quality (percent high-quality hours),1,High Quality,,0.19889
4819006,Grande Prairie County No. 1,2017,Air Quality (percent high-quality hours),1,High Quality,,0.07503
4819006,Grande Prairie County No. 1,2018,Air Quality (percent high-quality hours),1,High Quality,,0.13883
4819006,Grande Prairie County No. 1,2019,Air Quality (percent high-quality hours),1,High Quality,,0.21039
4819006,Grande Prairie County No. 1,2020,Air Quality (percent high-quality hours),1,High Quality,,0.23916
4819006,Grande Prairie County No. 1,2021,Air Quality (percent high-quality hours),1,High Quality,,0.14788
4819006,Grande Prairie County No. 1,2022,Air Quality (percent high-quality hours),1,High Quality,,0.12112
4812002,Cold Lake,2011,Air Quality (percent high-quality hours),1,High Quality,,0.24107
4812002,Cold Lake,2012,Air Quality (percent high-quality hours),1,High Quality,,0.15397
4812002,Cold Lake,2013,Air Quality (percent high-quality hours),1,High Quality,,0.16133
4812002,Cold Lake,2014,Air Quality (percent high-quality hours),1,High Quality,,0.21324
4812002,Cold Lake,2015,Air Quality (percent high-quality hours),1,High Quality,,0.24080
4812002,Cold Lake,2016,Air Quality (percent high-quality hours),1,High Quality,,0.33688
4812002,Cold Lake,2017,Air Quality (percent high-quality hours),1,High Quality,,0.22618
4812002,Cold Lake,2018,Air Quality (percent high-quality hours),1,High Quality,,0.22198
4812002,Cold Lake,2019,Air Quality (percent high-quality hours),1,High Quality,,0.31748
4812002,Cold Lake,2020,Air Quality (percent high-quality hours),1,High Quality,,0.26336
4812002,Cold Lake,2021,Air Quality (percent high-quality hours),1,High Quality,,0.17305
4812002,Cold Lake,2022,Air Quality (percent high-quality hours),1,High Quality,,0.17746
4812004,Bonnyville No. 87,2016,Air Quality (percent high-quality hours),1,High Quality,,0.33431
4812004,Bonnyville No. 87,2017,Air Quality (percent high-quality hours),1,High Quality,,0.06670
4812004,Bonnyville No. 87,2018,Air Quality (percent high-quality hours),1,High Quality,,0.19134
4812004,Bonnyville No. 87,2019,Air Quality (percent high-quality hours),1,High Quality,,0.16247
4812004,Bonnyville No. 87,2020,Air Quality (percent high-quality hours),1,High Quality,,0.21428
4812004,Bonnyville No. 87,2021,Air Quality (percent high-quality hours),1,High Quality,,0.17489
4812004,Bonnyville No. 87,2022,Air Quality (percent high-quality hours),1,High Quality,,0.18974
4812014,St. Paul County No. 19,2011,Air Quality (percent high-quality hours),1,High Quality,,0.22460
4812014,St. Paul County No. 19,2012,Air Quality (percent high-quality hours),1,High Quality,,0.18393
4812014,St. Paul County No. 19,2013,Air Quality (percent high-quality hours),1,High Quality,,0.10978
4812014,St. Paul County No. 19,2014,Air Quality (percent high-quality hours),1,High Quality,,0.10854
4812014,St. Paul County No. 19,2015,Air Quality (percent high-quality hours),1,High Quality,,0.18277
4812014,St. Paul County No. 19,2016,Air Quality (percent high-quality hours),1,High Quality,,0.22549
4812014,St. Paul County No. 19,2017,Air Quality (percent high-quality hours),1,High Quality,,0.18302
4812014,St. Paul County No. 19,2018,Air Quality (percent high-quality hours),1,High Quality,,0.16460
4812014,St. Paul County No. 19,2019,Air Quality (percent high-quality hours),1,High Quality,,0.15033
4812014,St. Paul County No. 19,2020,Air Quality (percent high-quality hours),1,High Quality,,0.20338
4812014,St. Paul County No. 19,2021,Air Quality (percent high-quality hours),1,High Quality,,0.11728
4812014,St. Paul County No. 19,2022,Air Quality (percent high-quality hours),1,High Quality,,0.12373
4819071,Peace No. 135,2022,Air Quality (percent high-quality hours),1,High Quality,,0.10904
4816037,Wood Buffalo,2011,Air Quality (percent high-quality hours),1,High Quality,,0.26516
4816037,Wood Buffalo,2012,Air Quality (percent high-quality hours),1,High Quality,,0.26269
4816037,Wood Buffalo,2013,Air Quality (percent high-quality hours),1,High Quality,,0.28073
4816037,Wood Buffalo,2014,Air Quality (percent high-quality hours),1,High Quality,,0.25083
4816037,Wood Buffalo,2015,Air Quality (percent high-quality hours),1,High Quality,,0.24809
4816037,Wood Buffalo,2016,Air Quality (percent high-quality hours),1,High Quality,,0.24046
4816037,Wood Buffalo,2017,Air Quality (percent high-quality hours),1,High Quality,,0.18230
4816037,Wood Buffalo,2018,Air Quality (percent high-quality hours),1,High Quality,,0.18507
4816037,Wood Buffalo,2019,Air Quality (percent high-quality hours),1,High Quality,,0.17979
4816037,Wood Buffalo,2020,Air Quality (percent high-quality hours),1,High Quality,,0.21742
4816037,Wood Buffalo,2021,Air Quality (percent high-quality hours),1,High Quality,,0.20784
4816037,Wood Buffalo,2022,Air Quality (percent high-quality hours),1,High Quality,,0.20276
4810066,Bruderheim,2011,Air Quality (percent high-quality hours),1,High Quality,,0.15478
4810066,Bruderheim,2012,Air Quality (percent high-quality hours),1,High Quality,,0.14379
4810066,Bruderheim,2013,Air Quality (percent high-quality hours),1,High Quality,,0.07772
4810066,Bruderheim,2014,Air Quality (percent high-quality hours),1,High Quality,,0.10124
4810066,Bruderheim,2015,Air Quality (percent high-quality hours),1,High Quality,,0.15941
4810066,Bruderheim,2016,Air Quality (percent high-quality hours),1,High Quality,,0.37811
4810066,Bruderheim,2017,Air Quality (percent high-quality hours),1,High Quality,,0.21117
4810066,Bruderheim,2018,Air Quality (percent high-quality hours),1,High Quality,,0.13043
4810066,Bruderheim,2019,Air Quality (percent high-quality hours),1,High Quality,,0.11897
4810066,Bruderheim,2020,Air Quality (percent high-quality hours),1,High Quality,,0.11860
4810066,Bruderheim,2021,Air Quality (percent high-quality hours),1,High Quality,,0.06683
4810066,Bruderheim,2022,Air Quality (percent high-quality hours),1,High Quality,,0.04948
4810068,Improvement District No. 13 Elk Island,2011,Air Quality (percent high-quality hours),1,High Quality,,0.23587
4810068,Improvement District No. 13 Elk Island,2012,Air Quality (percent high-quality hours),1,High Quality,,0.27155
4810068,Improvement District No. 13 Elk Island,2013,Air Quality (percent high-quality hours),1,High Quality,,0.20159
4810068,Improvement District No. 13 Elk Island,2014,Air Quality (percent high-quality hours),1,High Quality,,0.09662
4810068,Improvement District No. 13 Elk Island,2015,Air Quality (percent high-quality hours),1,High Quality,,0.23096
4810068,Improvement District No. 13 Elk Island,2016,Air Quality (percent high-quality hours),1,High Quality,,0.29749
4810068,Improvement District No. 13 Elk Island,2017,Air Quality (percent high-quality hours),1,High Quality,,0.16016
4810068,Improvement District No. 13 Elk Island,2018,Air Quality (percent high-quality hours),1,High Quality,,0.14566
4810068,Improvement District No. 13 Elk Island,2019,Air Quality (percent high-quality hours),1,High Quality,,0.23091
4810068,Improvement District No. 13 Elk Island,2020,Air Quality (percent high-quality hours),1,High Quality,,0.28344
4810068,Improvement District No. 13 Elk Island,2021,Air Quality (percent high-quality hours),1,High Quality,,0.20091
4810068,Improvement District No. 13 Elk Island,2022,Air Quality (percent high-quality hours),1,High Quality,,0.16696
4811012,Leduc County,2011,Air Quality (percent high-quality hours),1,High Quality,,0.31583
4811012,Leduc County,2012,Air Quality (percent high-quality hours),1,High Quality,,0.33725
4811012,Leduc County,2013,Air Quality (percent high-quality hours),1,High Quality,,0.31572
4811012,Leduc County,2014,Air Quality (percent high-quality hours),1,High Quality,,0.38414
4811012,Leduc County,2015,Air Quality (percent high-quality hours),1,High Quality,,0.45581
4811012,Leduc County,2016,Air Quality (percent high-quality hours),1,High Quality,,0.61105
4811012,Leduc County,2017,Air Quality (percent high-quality hours),1,High Quality,,0.43541
4811012,Leduc County,2018,Air Quality (percent high-quality hours),1,High Quality,,0.22585
4811012,Leduc County,2019,Air Quality (percent high-quality hours),1,High Quality,,0.13825
4811012,Leduc County,2020,Air Quality (percent high-quality hours),1,High Quality,,0.13271
4811012,Leduc County,2021,Air Quality (percent high-quality hours),1,High Quality,,0.07641
4819009,Beaverlodge,2011,Air Quality (percent high-quality hours),1,High Quality,,0.15478
4819009,Beaverlodge,2012,Air Quality (percent high-quality hours),1,High Quality,,0.06512
4819009,Beaverlodge,2013,Air Quality (percent high-quality hours),1,High Quality,,0.09576
4819009,Beaverlodge,2014,Air Quality (percent high-quality hours),1,High Quality,,0.14503
4819009,Beaverlodge,2015,Air Quality (percent high-quality hours),1,High Quality,,0.14815
4819009,Beaverlodge,2016,Air Quality (percent high-quality hours),1,High Quality,,0.26676
4819009,Beaverlodge,2017,Air Quality (percent high-quality hours),1,High Quality,,0.14027
4819009,Beaverlodge,2018,Air Quality (percent high-quality hours),1,High Quality,,0.15660
4819009,Beaverlodge,2019,Air Quality (percent high-quality hours),1,High Quality,,0.18222
4819009,Beaverlodge,2020,Air Quality (percent high-quality hours),1,High Quality,,0.23216
4819009,Beaverlodge,2021,Air Quality (percent high-quality hours),1,High Quality,,0.11682
4819009,Beaverlodge,2022,Air Quality (percent high-quality hours),1,High Quality,,0.09544
4810058,Lamont County,2011,Air Quality (percent high-quality hours),1,High Quality,,0.05236
4810058,Lamont County,2012,Air Quality (percent high-quality hours),1,High Quality,,0.12240
4810058,Lamont County,2013,Air Quality (percent high-quality hours),1,High Quality,,0.10274
4810058,Lamont County,2014,Air Quality (percent high-quality hours),1,High Quality,,0.09855
4810058,Lamont County,2015,Air Quality (percent high-quality hours),1,High Quality,,0.10030
4810058,Lamont County,2016,Air Quality (percent high-quality hours),1,High Quality,,0.18541
4810058,Lamont County,2017,Air Quality (percent high-quality hours),1,High Quality,,0.10850
4810058,Lamont County,2018,Air Quality (percent high-quality hours),1,High Quality,,0.10614
4810058,Lamont County,2019,Air Quality (percent high-quality hours),1,High Quality,,0.21300
4810058,Lamont County,2020,Air Quality (percent high-quality hours),1,High Quality,,0.12518
4810058,Lamont County,2021,Air Quality (percent high-quality hours),1,High Quality,,0.10183
4810058,Lamont County,2022,Air Quality (percent high-quality hours),1,High Quality,,0.09928
4814003,Yellowhead County,2011,Air Quality (percent high-quality hours),1,High Quality,,0.09271
4814003,Yellowhead County,2012,Air Quality (percent high-quality hours),1,High Quality,,0.15794
4814003,Yellowhead County,2013,Air Quality (percent high-quality hours),1,High Quality,,0.13650
4814003,Yellowhead County,2014,Air Quality (percent high-quality hours),1,High Quality,,0.18171
4814003,Yellowhead County,2015,Air Quality (percent high-quality hours),1,High Quality,,0.21046
4814003,Yellowhead County,2016,Air Quality (percent high-quality hours),1,High Quality,,0.30345
4814003,Yellowhead County,2017,Air Quality (percent high-quality hours),1,High Quality,,0.21374
4814003,Yellowhead County,2018,Air Quality (percent high-quality hours),1,High Quality,,0.14269
4814003,Yellowhead County,2019,Air Quality (percent high-quality hours),1,High Quality,,0.22620
4814003,Yellowhead County,2020,Air Quality (percent high-quality hours),1,High Quality,,0.21961
4814003,Yellowhead County,2021,Air Quality (percent high-quality hours),1,High Quality,,0.14710
4814003,Yellowhead County,2022,Air Quality (percent high-quality hours),1,High Quality,,0.14085
4808011,Red Deer,2017,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00080
4808011,Red Deer,2018,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00354
4808011,Red Deer,2019,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00354
4808011,Red Deer,2021,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00011
4811056,Fort Saskatchewan,2014,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00012
4811056,Fort Saskatchewan,2015,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00154
4811056,Fort Saskatchewan,2016,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00038
4811056,Fort Saskatchewan,2018,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00203
4811056,Fort Saskatchewan,2019,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00052
4811056,Fort Saskatchewan,2021,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00242
4811061,Edmonton,2013,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00103
4811061,Edmonton,2015,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00080
4811061,Edmonton,2016,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00057
4811061,Edmonton,2017,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00034
4811061,Edmonton,2018,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00320
4811061,Edmonton,2019,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00114
4811061,Edmonton,2021,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00171
4802012,Lethbridge,2011,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00038
4802012,Lethbridge,2017,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00176
4802012,Lethbridge,2018,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00025
4802012,Lethbridge,2020,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00012
4802012,Lethbridge,2021,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00072
4802031,Newell County,2021,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00121
4809010,Caroline,2018,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00342
4809010,Caroline,2019,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00163
4809010,Caroline,2021,Air Quality (percent high-quality hours),10+,Very Low Quality,,0.00012
